Ref;Val;Package;PosX;PosY;Rot;Side
"C1";"100n";"C_0603_1608Metric";18,457140;-5,051120;240,000000;top
"C2";"100n";"C_0603_1608Metric";18,447140;-21,171120;300,000000;top
"C3";"100n";"C_0603_1608Metric";32,417140;-29,201120;0,000000;top
"C4";"100n";"C_0603_1608Metric";46,367140;-21,171120;60,000000;top
"C5";"100n";"C_0603_1608Metric";46,367140;-5,061120;120,000000;top
"C6";"100n";"C_0603_1608Metric";32,417140;3,008880;180,000000;top
"D1";"TX1812LB";"LED_TX1812LB_TC2528RGB_2,4x2,7mm";20,427140;-6,191120;240,000000;top
"D2";"TX1812LB";"LED_TX1812LB_TC2528RGB_2,4x2,7mm";20,417140;-20,031120;300,000000;top
"D3";"TX1812LB";"LED_TX1812LB_TC2528RGB_2,4x2,7mm";32,417140;-26,931120;0,000000;top
"D4";"TX1812LB";"LED_TX1812LB_TC2528RGB_2,4x2,7mm";44,397140;-20,031120;60,000000;top
"D5";"TX1812LB";"LED_TX1812LB_TC2528RGB_2,4x2,7mm";44,397140;-6,191120;120,000000;top
"D6";"TX1812LB";"LED_TX1812LB_TC2528RGB_2,4x2,7mm";32,407140;0,748880;180,000000;top
"R1";"10k";"R_0603_1608Metric";31,232140;-18,611120;180,000000;top
"R2";"10k";"R_0603_1608Metric";38,407140;-13,111120;90,000000;top
"R3";"10k";"R_0603_1608Metric";31,232140;-7,611120;180,000000;top
"R7";"10k";"R_0603_1608Metric";27,907140;-11,436120;270,000000;top
"R8";"10k";"R_0603_1608Metric";33,782140;-21,311120;180,000000;top
